BHK,Size,Area Locality,Bathroom,Floor_num,Total_floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
3,900,9.740097392256887,2,0.0,2.0,1,0,0,0,0,1,0,0,1,0,0
2,1200,10.013544636527918,2,3.0,3.0,1,0,1,0,0,0,0,1,0,1,0
4,1000,9.92691551259201,3,15.0,20.0,0,1,0,0,1,0,0,1,0,1,0
1,450,9.74753333599368,1,1.0,4.0,1,0,0,1,0,0,0,1,0,1,0
2,650,9.87666726582894,2,2.0,7.0,1,0,0,0,0,0,1,0,1,0,0
2,1200,9.793896865979255,2,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0
1,550,11.260758123640748,1,5.0,7.0,1,0,0,0,0,0,1,0,0,1,0
2,1200,9.75692663685124,2,0.0,1.0,0,1,1,0,0,0,0,1,0,1,0
1,600,9.926282632888089,1,1.0,4.0,1,0,0,1,0,0,0,1,0,0,0
1,1000,9.690940050050948,1,2.0,3.0,0,1,0,0,0,1,0,0,1,1,0
2,300,9.851418003682703,1,1.0,3.0,0,1,0,0,0,0,0,1,0,1,0
3,1600,10.109809855222872,3,4.0,4.0,1,0,1,0,0,0,0,0,1,1,0
4,3455,9.999707104160528,4,12.0,17.0,0,1,0,0,1,0,0,1,0,0,1
4,1750,10.23026144700584,4,9.0,31.0,1,0,0,0,0,0,1,1,0,0,0
2,933,9.81983711999281,2,2.0,5.0,0,1,0,0,1,0,0,0,1,0,0
4,1617,10.140037521391557,5,15.0,58.0,1,0,0,0,0,0,1,1,0,1,0
1,750,9.726454694910348,1,1.0,3.0,0,1,0,0,0,0,0,0,1,1,0
2,2000,9.731551454400257,2,7.0,10.0,0,1,1,0,0,0,0,0,0,1,0
3,1000,10.088652053038432,2,15.0,20.0,1,0,0,0,0,0,1,1,0,1,0
2,756,9.89861359929606,2,2.0,4.0,1,0,0,1,0,0,0,1,0,0,0
1,450,10.23026144700584,1,2.0,3.0,0,1,0,0,0,0,1,0,1,0,1
1,450,9.795372998386448,1,1.0,4.0,0,1,1,0,0,0,0,0,1,0,0
1,300,9.674625337637492,1,0.0,2.0,0,1,0,0,1,0,0,0,1,1,0
2,460,9.732210571767421,1,0.0,2.0,1,0,0,0,0,1,0,0,1,0,0
2,670,9.965320110756211,2,4.0,16.0,1,0,0,0,0,0,1,1,0,0,1
2,720,10.038015041544366,2,1.0,6.0,1,0,0,0,0,0,1,1,0,1,0
2,1800,9.851418003682703,2,1.0,1.0,0,1,1,0,0,0,0,1,0,1,0
3,1500,10.03471608512082,2,1.0,4.0,1,0,0,0,0,0,0,1,0,1,0
1,400,10.036422253769135,1,1.0,1.0,1,0,0,0,0,0,0,0,1,1,0
1,700,9.611036474764308,1,1.0,3.0,0,1,0,0,0,1,0,0,1,1,0
1,600,9.725962943549627,1,0.0,4.0,0,1,0,0,0,0,0,1,0,1,0
2,700,9.749416917177761,2,1.0,3.0,1,0,0,0,0,0,0,1,0,0,0
1,800,9.671068873171329,1,1.0,1.0,1,0,1,0,0,0,0,0,1,1,0
3,1150,9.841689037127198,3,1.0,2.0,1,0,1,0,0,0,0,1,0,1,0
1,400,9.853493263388643,1,0.0,3.0,0,1,0,0,0,0,0,0,1,1,0
2,650,9.566212854148315,1,2.0,2.0,1,0,0,0,0,1,0,0,1,1,0
4,4800,10.006790082915375,4,11.0,19.0,1,0,0,0,0,0,0,1,0,1,0
3,900,9.86445890448238,2,2.0,4.0,1,0,0,1,0,0,0,0,1,0,0
2,900,9.869273271820244,2,2.0,4.0,1,0,0,1,0,0,0,1,0,0,0
2,1333,9.803061455102318,2,2.0,4.0,0,1,0,0,0,0,0,0,1,0,0
1,550,9.699490041233883,1,2.0,5.0,1,0,0,0,0,0,0,1,0,0,0
1,800,9.79166569424306,1,0.0,2.0,0,1,0,0,0,0,0,0,0,1,0
2,750,10.007956155801278,2,5.0,9.0,1,0,0,0,0,0,1,1,0,1,0
3,1200,9.820648339629336,2,2.0,3.0,0,1,0,0,0,0,0,0,1,0,0
2,700,9.692616621750526,1,0.0,3.0,1,0,0,0,0,1,0,0,1,0,0
2,1400,9.809579716395099,1,3.0,4.0,0,1,0,1,0,0,0,0,1,0,0
2,130,9.712685864013475,1,0.0,3.0,0,1,0,1,0,0,0,0,1,1,0
1,1000,9.700643698225084,2,1.0,2.0,0,1,1,0,0,0,0,0,1,1,0
2,750,11.260758123640748,2,15.0,18.0,1,0,0,0,0,0,1,1,0,1,0
1,450,9.799333153361939,1,2.0,3.0,1,0,0,1,0,0,0,0,0,1,0
3,1500,9.85019947362297,2,3.0,4.0,1,0,0,0,1,0,0,1,0,1,0
2,1000,9.68753634008429,2,1.0,2.0,0,1,0,0,1,0,0,0,1,0,0
4,1500,10.19934134806751,3,5.0,15.0,1,0,0,0,0,0,1,0,0,1,0
1,350,9.692940765908682,1,0.0,3.0,0,1,0,0,0,1,0,0,1,1,0
1,800,10.014408435670221,1,1.0,3.0,1,0,0,0,0,0,0,0,1,0,0
2,1100,9.779888087686004,2,2.0,4.0,0,1,0,0,0,0,0,1,0,1,0
2,600,9.657982878684924,1,0.0,2.0,0,1,0,0,1,0,0,0,1,1,0
3,1950,9.79264250104019,3,2.0,5.0,0,1,0,0,1,0,0,1,0,1,0
2,935,9.831470456144867,2,2.0,2.0,1,0,1,0,0,0,0,0,1,0,0
1,350,9.667850831935588,1,0.0,2.0,0,1,1,0,0,0,0,0,1,1,0
1,30,9.727455476864684,1,1.0,5.0,0,1,0,1,0,0,0,0,0,1,0
2,850,9.805280275543836,2,1.0,2.0,0,1,0,0,0,0,0,1,0,1,0
2,1050,9.737592970330239,2,1.0,3.0,0,1,0,0,1,0,0,1,0,1,0
1,360,9.677645014438266,1,-2.0,1.0,0,1,1,0,0,0,0,1,0,1,0
3,1100,10.382344765602124,3,3.0,8.0,1,0,0,0,0,0,1,0,0,1,0
2,1320,9.883319839879906,2,-2.0,2.0,0,1,0,0,0,1,0,0,0,1,0
3,1400,9.812773856645698,3,11.0,15.0,0,1,1,0,0,0,0,1,0,1,0
2,550,9.701754333411007,1,1.0,1.0,0,1,0,0,0,1,0,1,0,1,0
3,1800,9.90723045014874,3,2.0,4.0,1,0,0,1,0,0,0,1,0,1,0
2,650,9.947946932201228,2,8.0,15.0,1,0,0,0,0,0,1,0,0,0,0
2,120,9.69856784231601,2,0.0,2.0,0,1,0,0,1,0,0,1,0,1,0
2,1080,9.84812410910894,2,0.0,2.0,1,0,0,0,0,0,0,1,0,0,1
2,900,9.954741472364214,2,12.0,25.0,1,0,0,0,0,0,1,1,0,1,0
1,600,9.804596034316763,1,3.0,3.0,0,1,0,0,0,0,0,1,0,0,0
1,463,9.924225972151216,2,5.0,7.0,1,0,0,0,0,0,1,0,0,1,0
2,650,9.80142134468441,2,0.0,3.0,0,1,1,0,0,0,0,1,0,1,0
2,1200,9.571312065259516,2,1.0,2.0,1,0,0,0,0,1,0,0,1,1,0
3,1500,10.12288880022464,3,7.0,12.0,1,0,0,0,0,0,1,0,1,0,1
2,900,9.784959597769017,1,1.0,2.0,1,0,0,0,0,0,0,1,0,1,0
3,1320,9.87753427116593,2,0.0,2.0,1,0,0,0,0,1,0,0,1,0,0
1,190,9.65042627131858,1,0.0,2.0,0,1,0,0,0,1,0,1,0,1,0
2,650,9.879588325556814,2,6.0,7.0,1,0,0,0,0,0,1,0,1,0,1
3,1700,9.844753172530305,3,10.0,13.0,1,0,0,0,0,0,0,1,0,1,0
1,50,9.703936919167829,1,1.0,4.0,1,0,0,1,0,0,0,0,1,1,0
1,416,9.695584079610853,1,19.0,20.0,0,1,0,0,0,0,0,0,1,1,0
3,937,10.094949824798189,2,16.0,27.0,1,0,0,0,0,0,1,0,0,0,1
2,966,9.688460148555688,2,1.0,3.0,0,1,1,0,0,0,0,1,0,1,0
1,850,9.73061286416546,1,0.0,1.0,0,1,1,0,0,0,0,0,1,1,0
2,1100,9.624909471439025,2,0.0,2.0,1,0,0,0,0,0,0,1,0,1,0
